"t / s","CH1 / V","CH2 / V"
0,0.020202,0.763313
2e-07,0.040404,0.763313
4e-07,0.020202,0.753212
6e-07,0.343434,0.753212
8e-07,3.47475,0.763313
1e-06,3.45455,0.763313
1.2e-06,3.33333,0.773414
1.4e-06,0.040404,0.763313
1.6e-06,0.020202,0.763313
1.8e-06,0.020202,0.763313
2e-06,0.040404,0.763313
2.2e-06,0.020202,0.763313
2.4e-06,0.040404,0.763313
2.6e-06,0.020202,0.763313
2.8e-06,0.040404,0.763313
3e-06,0.040404,0.753212
3.2e-06,0.040404,0.763313
3.4e-06,0.040404,0.753212
3.6e-06,0.040404,0.753212
3.8e-06,0.020202,0.753212
4e-06,0.040404,0.743111
4.2e-06,0.040404,0.743111
4.4e-06,0.040404,0.743111
4.6e-06,0.040404,0.743111
4.8e-06,0.040404,0.743111
5e-06,0.040404,0.743111
5.2e-06,0.040404,0.743111
5.4e-06,0.020202,0.743111
5.6e-06,0,0.73301
5.8e-06,0,0.743111
6e-06,0.020202,0.73301
6.2e-06,0.040404,0.743111
6.4e-06,0.040404,0.73301
6.6e-06,0.040404,0.73301
6.8e-06,0.040404,0.722909
7e-06,0.040404,0.722909
7.2e-06,0.040404,0.722909
7.4e-06,0.020202,0.73301
7.6e-06,0.040404,0.722909
7.8e-06,0.040404,0.73301
8e-06,0.040404,0.73301
8.2e-06,0.040404,0.722909
8.4e-06,0.020202,0.722909
8.6e-06,0.040404,0.722909
8.8e-06,3.45455,0.722909
9e-06,3.43434,0.722909
9.2e-06,3.45455,0.743111
9.4e-06,3.43434,0.743111
9.6e-06,3.43434,0.743111
9.8e-06,3.43434,0.743111
1e-05,3.43434,0.743111
1.02e-05,3.43434,0.763313
1.04e-05,3.47475,0.763313
1.06e-05,3.45455,0.773414
1.08e-05,3.43434,0.773414
1.1e-05,3.43434,0.793616
1.12e-05,3.45455,0.803717
1.14e-05,0.0808081,0.803717
1.16e-05,0.040404,0.803717
1.18e-05,0.040404,0.803717
1.2e-05,0.040404,0.803717
1.22e-05,0.040404,0.783515
1.24e-05,0.040404,0.783515
1.26e-05,0.040404,0.793616
1.28e-05,0.040404,0.783515
1.3e-05,0.040404,0.773414
1.32e-05,0.040404,0.773414
1.34e-05,0.040404,0.763313
1.36e-05,0.040404,0.773414
1.38e-05,0.040404,0.763313
1.4e-05,0.020202,0.763313
1.42e-05,0.040404,0.763313
1.44e-05,0.040404,0.763313
1.46e-05,0.040404,0.763313
1.48e-05,0.040404,0.763313
1.5e-05,0.040404,0.763313
1.52e-05,0.040404,0.763313
1.54e-05,0.040404,0.763313
1.56e-05,0.020202,0.763313
1.58e-05,0.040404,0.763313
1.6e-05,0.040404,0.753212
1.62e-05,0.020202,0.743111
1.64e-05,0.040404,0.743111
1.66e-05,0.040404,0.753212
1.68e-05,3.43434,0.753212
1.7e-05,3.45455,0.753212
1.72e-05,3.45455,0.763313
1.74e-05,3.45455,0.763313
1.76e-05,3.43434,0.763313
1.78e-05,3.43434,0.773414
1.8e-05,3.45455,0.793616
1.82e-05,3.43434,0.793616
1.84e-05,3.43434,0.803717
1.86e-05,3.45455,0.803717
1.88e-05,3.45455,0.803717
1.9e-05,3.43434,0.823919
1.92e-05,3.45455,0.823919
1.94e-05,0.20202,0.823919
1.96e-05,0.040404,0.823919
1.98e-05,0.040404,0.823919
2e-05,0.040404,0.823919
2.02e-05,0.040404,0.823919
2.04e-05,0.040404,0.823919
2.06e-05,0.040404,0.813818
2.08e-05,0.040404,0.803717
2.1e-05,0.040404,0.813818
2.12e-05,0.040404,0.803717
2.14e-05,0.040404,0.803717
2.16e-05,0.040404,0.803717
2.18e-05,0.020202,0.803717
2.2e-05,0.040404,0.803717
2.22e-05,0.040404,0.803717
2.24e-05,0.040404,0.803717
2.26e-05,0.040404,0.803717
2.28e-05,0.020202,0.803717
2.3e-05,0.040404,0.803717
2.32e-05,0.040404,0.803717
2.34e-05,0.020202,0.793616
2.36e-05,0.040404,0.803717
2.38e-05,0.040404,0.793616
2.4e-05,0.040404,0.783515
2.42e-05,0.040404,0.783515
2.44e-05,0.040404,0.783515
2.46e-05,0.040404,0.783515
2.48e-05,3.41414,0.793616
2.5e-05,3.43434,0.793616
2.52e-05,3.43434,0.803717
2.54e-05,3.45455,0.803717
2.56e-05,3.43434,0.803717
2.58e-05,3.43434,0.803717
2.6e-05,3.43434,0.803717
2.62e-05,3.47475,0.823919
2.64e-05,3.47475,0.823919
2.66e-05,3.43434,0.844121
2.68e-05,3.47475,0.844121
2.7e-05,3.45455,0.844121
2.72e-05,3.47475,0.844121
2.74e-05,0.626263,0.864323
2.76e-05,0.040404,0.844121
2.78e-05,0.040404,0.844121
